kode_ref_pend,nama_pendidikan,formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms
5191141,S-1 INFORMATIKA,8a02826391606efe019165bf1aa527b2,Arsip Nasional Republik Indonesia,CPNS,PUTRA/PUTRI KALIMANTAN,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH II,1,1,7974000,8581000,3
5191141,S-1 INFORMATIKA,8a02826391606efe019165c0f0e5281f,Arsip Nasional Republik Indonesia,CPNS,PUTRA/PUTRI KALIMANTAN,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH I,1,1,7974000,8581000,8
5191141,S-1 INFORMATIKA,7ddf1b4a-2919-4cf1-ad2a-11978b7e8114,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH II,2,1,7974000,8581000,37
5191141,S-1 INFORMATIKA,82502176-f87c-4878-a245-2618d8c3b292,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH I,2,1,7974000,8581000,29
5191141,S-1 INFORMATIKA,b908dab6-1b26-4ec1-9ba8-210cd6dd5620,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG KONSERVASI ARSIP | DIREKTORAT PENGOLAHAN,1,1,7974000,8581000,19
5191141,S-1 INFORMATIKA,4340f7e3-aca4-441a-8104-424d3bee7a60,Badan Informasi Geospasial,CPNS,UMUM,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Informasi Geospasial | DEPUTI BIDANG INFRASTRUKTUR INFORMASI GEOSPASIAL | DIREKTORAT STANDAR DAN TEKNOLOGI INFORMASI GEOSPASIAL,1,1,5500000,7800000,30
5191141,S-1 INFORMATIKA,414f6efd-6feb-436e-b1d7-2c839d8d1beb,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,"BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | BIRO LOGISTIK | BAGIAN INVENTARISASI, DISTRIBUSI DAN PENGHAPUSAN | SUBBAGIAN INVENTARISASI",1,0,3500000,7500000,32
5191141,S-1 INFORMATIKA,8a0384b491502874019153ddd3cb1878,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,PAPUA RAYA,5,1,4500000,7500000,75
5191141,S-1 INFORMATIKA,1e3f419f-dbc5-4902-98ab-a3987f2f5054,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Kalimantan Utara | Subbagian Umum,1,1,4500000,7500000,9
5191141,S-1 INFORMATIKA,2e9ee8f8-dd8e-44b5-9867-d8e97165b3d3,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Kepulauan Bangka Belitung | Subbagian Umum,1,1,4500000,7500000,13
5191141,S-1 INFORMATIKA,337ec657-7766-42e4-bd0f-e304aead2540,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Kalimantan Selatan | Subbagian Umum,1,1,4500000,7500000,7
5191141,S-1 INFORMATIKA,67706244-d0aa-4812-bc56-c126e33eecc9,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Jawa Tengah | Subbagian Umum,1,1,4500000,7500000,52
5191141,S-1 INFORMATIKA,7955c1dd-d852-463f-8393-e0a428c2ae29,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Banten | Subbagian Umum,1,1,4500000,7500000,35
5191141,S-1 INFORMATIKA,8b00c545-cadf-455d-8abc-f699355484fa,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Bengkulu | Subbagian Umum,1,1,4500000,7500000,22
5191141,S-1 INFORMATIKA,a96646e6-d1e3-4547-a789-fff2c4e41c16,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Sulawesi Barat | Subbagian Umum,1,1,4500000,7500000,10
5191141,S-1 INFORMATIKA,abe7d2cc-ba5e-422f-bbd7-e9da828428d6,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Sulawesi Tengah | Subbagian Umum,1,1,4500000,7500000,5
5191141,S-1 INFORMATIKA,bd926344-7a98-401f-a3dd-1defb8e34e55,Badan Karantina Indonesia,CPNS,PENYANDANG DISABILITAS,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Kepulauan Riau | Subbagian Umum,1,1,4500000,7500000,1
5191141,S-1 INFORMATIKA,e1d44c56-8363-4ddd-99a6-7caa952fe1d1,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Kalimantan Tengah | Subbagian Umum,1,1,4500000,7500000,7
5191141,S-1 INFORMATIKA,e57cecb9-5210-416e-8bc9-70033d071820,Badan Karantina Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia | BKHIT Nusa Tenggara Timur | Subbagian Umum,1,1,4500000,7500000,14
5191141,S-1 INFORMATIKA,3bf139ec-60d1-470b-aebf-4606b5777c17,Badan Kepegawaian Negara,CPNS,UMUM,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Kepegawaian Negara | Deputi Bidang Sistem Informasi Kepegawaian | Direktorat Infrastruktur Teknologi Informasi,1,0,7380850,8194850,14
5191141,S-1 INFORMATIKA,8a0186c79158f6d40191590774700bdf,Badan Pelindungan Pekerja Migran Indonesia,CPNS,PUTRA/PUTRI KALIMANTAN,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT DATA DAN INFORMASI,1,1,6862100,7206358,1
5191141,S-1 INFORMATIKA,00d1a317-d5ba-4e8d-8804-9feb83e9028e,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT DATA DAN INFORMASI,4,1,6862100,7206358,10
5191141,S-1 INFORMATIKA,8a0282659168528c01916aa8f2be1c4a,Badan Pengawasan Keuangan dan Pembangunan,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,20,1,10000000,11500000,1172
5191141,S-1 INFORMATIKA,8a01866591ab92dd0191ac924f0f0a69,Kementerian Agama,CPNS,LULUSAN TERBAIK,PERENCANA AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KRISTEN,2,1,2785700,6104700,1
5191141,S-1 INFORMATIKA,8a01866591ab92dd0191ac92f5310a7e,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PERENCANA AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KATOLIK,3,1,2785700,6104700,4
5191141,S-1 INFORMATIKA,8a01866591ab92dd0191ac932ff00a91,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PERENCANA AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KRISTEN,2,1,2785700,6104700,0
5191141,S-1 INFORMATIKA,8a01866591ab92dd0191ac9381de0aa6,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PERENCANA AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KRISTEN,1,1,2785700,6104700,0
5191141,S-1 INFORMATIKA,8a028487919cdb310191a71fd881155c,Kementerian Agama,CPNS,UMUM,PERENCANA AHLI PERTAMA,IAHN GDE PUDJA MATARAM,2,1,2785700,6104700,12
