kode_ref_pend,nama_pendidikan,formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms
5193682,D-IV/S-1 TEKNIK INFORMATIKA,38961e57-0fb3-4fc3-9f6d-179e5d9fd545,Badan Intelijen Negara,CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,"BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT ANALISIS IDEOLOGI, POLITIK DAN SOSIAL BUDAYA | SUB DIREKTORAT TEKNOLOGI DAN SIBER",1,0,3500000,7500000,6
5193682,D-IV/S-1 TEKNIK INFORMATIKA,4a54338a-9e7c-4b97-acf5-3c4b35455291,Badan Intelijen Negara,CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,"BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN EKONOMI | DIREKTORAT ENERGI, SUMBER DAYA MINERAL DAN KEPENDUDUKAN | SUB DIREKTORAT KEPENDUDUKAN DAN KETENAGAKERJAAN",1,0,3500000,7500000,1
5193682,D-IV/S-1 TEKNIK INFORMATIKA,02d75e74-c248-499c-9f1c-9d2c8f16161b,Badan Intelijen Negara,CPNS,UMUM,PENATA KELOLA INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | BIRO UMUM | BAGIAN TATA USAHA PIMPINAN DAN PERSURATAN | SUBBAGIAN TATA USAHA,1,0,3500000,7500000,1
5193682,D-IV/S-1 TEKNIK INFORMATIKA,32c0ac9d-5f5f-4985-89db-26ef51b89b95,Badan Intelijen Negara,CPNS,UMUM,PENATA KELOLA INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | BIRO LOGISTIK,3,0,3500000,7500000,15
5193682,D-IV/S-1 TEKNIK INFORMATIKA,1abff6b7-d07d-4f99-8d33-92210c4df8bc,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN SIBER | DIREKTORAT ANALISIS DAN FORENSIK | SUB DIREKTORAT ANALISIS PERTAHANAN,1,0,3500000,7500000,1
5193682,D-IV/S-1 TEKNIK INFORMATIKA,3b13284e-679e-4594-b4bc-774aad8ada27,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG KONTRA INTELIJEN | DIREKTORAT PERENCANAAN PENGENDALIAN KEGIATAN DAN OPERASI | SUB DIREKTORAT ANALISIS DAN EVALUASI,1,0,3500000,7500000,3
5193682,D-IV/S-1 TEKNIK INFORMATIKA,482a0954-8ecb-416f-8d1b-9ab7f8b45ac6,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN SIBER | DIREKTORAT RESPON ANCAMAN | SUB DIREKTORAT MITIGASI,2,0,3500000,7500000,9
5193682,D-IV/S-1 TEKNIK INFORMATIKA,5b4731bc-5706-4489-8d4f-47499424194d,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | PUSAT PENDIDIKAN DAN PELATIHAN,16,0,3500000,7500000,192
5193682,D-IV/S-1 TEKNIK INFORMATIKA,5faac7e4-7306-4f8c-87bf-4c96f6234313,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN SIBER | DIREKTORAT PERENCANAAN PENGENDALIAN KEGIATAN DAN OPERASI | SUB DIREKTORAT ANALISIS DAN EVALUASI,1,0,3500000,7500000,1
5193682,D-IV/S-1 TEKNIK INFORMATIKA,c00eb752-23a3-41bf-a4ed-b8416ecbf382,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | SEKOLAH TINGGI INTLIJEN NEGARA | BAGIAN RESIMEN TARUNA & MAHASISWA,6,0,3500000,7500000,1
5193682,D-IV/S-1 TEKNIK INFORMATIKA,daad333b-b49f-487b-b2cd-c7c7d129561a,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN SIBER | DIREKTORAT DETEKSI DINI | SUB DIREKTORAT ASET PENTING,1,0,3500000,7500000,0
5193682,D-IV/S-1 TEKNIK INFORMATIKA,dbc75dde-86fc-428d-bf08-1a0a8f0facdd,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,"BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN LUAR NEGERI | DIREKTORAT PERENCANAAN, PENGENDALIAN KEGIATAN DAN OPERASI | SUB DIREKTORAT ANALISIS DAN EVALUASI",1,0,3500000,7500000,3
5193682,D-IV/S-1 TEKNIK INFORMATIKA,effab19f-7c89-4c8c-9d92-3fa775c200dd,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | SEKOLAH TINGGI INTLIJEN NEGARA | PROGRAM STUDI,5,0,3500000,7500000,4
5193682,D-IV/S-1 TEKNIK INFORMATIKA,f97e37d0-1b6f-4ddc-bd00-a35c8aa67ff8,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | PUSAT PSIKOLOGI | BIDANG PENYIAPAN DAN DUKUNGAN PSIKOLOGI INTELIJEN,1,0,3500000,7500000,5
5193682,D-IV/S-1 TEKNIK INFORMATIKA,e7ed9b56-2900-40ab-848b-d257882bc037,Badan Intelijen Negara,CPNS,UMUM,PENGEMBANG SISTEM INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | PUSAT PENELITIAN DAN PENGEMBANGAN,4,0,3500000,7500000,24
5193682,D-IV/S-1 TEKNIK INFORMATIKA,b36d8d85-645b-443e-955b-2dd4c8722e6a,Kementerian Koordinator Bidang Perekonomian,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Kementerian Koordinator Bidang Perekonomian | Inspektorat | Subbagian Tata Usaha Inspektorat,1,1,5321276,7938010,93
5193682,D-IV/S-1 TEKNIK INFORMATIKA,698af03b-e3dd-4cb6-8476-8a6e8da7eebf,Kementerian Pertanian,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN PERTANIAN | DIREKTORAT JENDERAL PERKEBUNAN | BALAI BESAR PERBENIHAN DAN PROTEKSI TANAMAN PERKEBUNAN MEDAN,2,0,3383600,8039550,71
5193682,D-IV/S-1 TEKNIK INFORMATIKA,93b2d7c2-f1f5-4dee-8a97-9ceda47d3c1a,Kementerian Pertanian,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN PERTANIAN | DIREKTORAT JENDERAL PERKEBUNAN | BALAI BESAR PERBENIHAN DAN PROTEKSI TANAMAN PERKEBUNAN SURABAYA,2,0,3743600,9078750,143
5193682,D-IV/S-1 TEKNIK INFORMATIKA,95bc34a0-21f7-4f77-ae98-ca1e2fbfa470,Kementerian Pertanian,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN PERTANIAN | DIREKTORAT JENDERAL PERKEBUNAN | DIREKTORAT PERBENIHAN PERKEBUNAN,2,0,2965700,7621650,53
5193682,D-IV/S-1 TEKNIK INFORMATIKA,bc38d7d5-2104-4d9a-a474-730c369cb0cc,Kementerian Pertanian,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN PERTANIAN | DIREKTORAT JENDERAL PERKEBUNAN | DIREKTORAT TANAMAN SEMUSIM DAN TAHUNAN,3,0,2965700,7621650,171
5193682,D-IV/S-1 TEKNIK INFORMATIKA,c74d3cb8-1467-4aa7-a143-418440f0a7b0,Kementerian Pertanian,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN PERTANIAN | DIREKTORAT JENDERAL PERKEBUNAN | BALAI BESAR PERBENIHAN DAN PROTEKSI TANAMAN PERKEBUNAN AMBON,2,0,3383600,8039550,12
5193682,D-IV/S-1 TEKNIK INFORMATIKA,7ff20df2-1092-4126-b55b-a10173914936,Pemerintah Kab. Barito Selatan,CPNS,UMUM,PENGAWAS PENDATAAN STATISTIK,"KABUPATEN BARITO SELATAN | DINAS KOMUNIKASI DAN INFORMATIKA | BIDANG INFORMATIKA, PERSANDIAN DAN STATISTIK | SEKSI STATISTIK",2,0,3000000,5000000,6
5193682,D-IV/S-1 TEKNIK INFORMATIKA,54cbef9b-e8bd-4307-bba0-e30bac25e56d,Pemerintah Kab. Barito Utara,CPNS,UMUM,PENGAWAS PENDATAAN STATISTIK,"PEMERINTAH KABUPATEN BARITO UTARA | DINAS KOMUNIKASI, INFORMATIKA DAN PERSANDIAN | BIDANG PERSANDIAN DAN PENGAMANAN INFORMASI | SEKSI STATISTIK",10,1,2500000,5000000,60
