kode_ref_pend,nama_pendidikan,formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,04284421-b5d7-4675-aed9-04049bdabbc4,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu | Sekretariat Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,1,1,2785700,3572800,2
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,094a26db-ef97-4699-a879-7eda89de4861,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Dinas Koperasi Usaha Kecil dan Menengah dan Perindustrian | Sekretariat Dinas Koperasi Usaha Kecil dan Menengah dan Perindustrian,1,1,2785700,3572800,15
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,1adc4a2e-ff29-49ca-9dc0-ed23dc4f7975,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Dinas Ketahanan Pangan dan Pertanian | Sekretariat Dinas Ketahanan Pangan dan Pertanian,1,1,2785700,3572800,10
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,223fc547-7b8d-496e-97be-a8b3eb60a724,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,"Pemerintah Kota Surakarta | Dinas Perumahan, dan Kawasan Permukiman serta Pertanahan | Sekretariat Dinas Perumahan, dan Kawasan Permukiman serta Pertanahan",1,1,2785700,3572800,7
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,251189e0-8e11-480e-88aa-5ba2c92b7c34,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Badan Perencanaan Pembangunan Daerah | Sekretariat Badan Perencanaan Pembangunan Daerah,1,1,2785700,3572800,13
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,374c9310-60ff-4b76-af40-251df8de0729,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Dinas Kepemudaan dan Olahraga | Sekretariat Dinas Kepemudaan dan Olahraga,1,1,2785700,3572800,9
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,3944b4d8-129b-4961-babf-e2d98b7ed8d1,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Badan Kepegawaian dan Pengembangan Sumber Daya Manusia | Bidang Penilaian dan Evaluasi Kinerja Aparatur,1,1,2785700,3572800,7
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,4949b134-b33b-4718-89bb-ffcd597342df,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,"Pemerintah Kota Surakarta | Dinas Komunikasi, Informatika, Statistik dan Persandian | Sekretariat Dinas Komunikasi, Informatika, Statistik dan Persandian",1,1,2785700,3572800,5
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,7331561f-bb04-4a8f-9f03-a009a108af91,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Sekretariat Daerah | Asisten Administrasi Umum | Bagian Organisasi,2,1,2785700,3572800,93
5210314,S-1 ADMINISTRASI PEMERINTAHAN DAERAH,ba3ffe48-3e58-4ab5-8826-c6e97fbe4e41,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Dinas Pendidikan | Bidang Pengembangan Pendidikan,1,1,2785700,3572800,119
5210315,S-1 ADMINISTRASI PUBLIK,094a26db-ef97-4699-a879-7eda89de4861,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Dinas Koperasi Usaha Kecil dan Menengah dan Perindustrian | Sekretariat Dinas Koperasi Usaha Kecil dan Menengah dan Perindustrian,1,1,2785700,3572800,15
5210315,S-1 ADMINISTRASI PUBLIK,1adc4a2e-ff29-49ca-9dc0-ed23dc4f7975,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Dinas Ketahanan Pangan dan Pertanian | Sekretariat Dinas Ketahanan Pangan dan Pertanian,1,1,2785700,3572800,10
5210315,S-1 ADMINISTRASI PUBLIK,223fc547-7b8d-496e-97be-a8b3eb60a724,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,"Pemerintah Kota Surakarta | Dinas Perumahan, dan Kawasan Permukiman serta Pertanahan | Sekretariat Dinas Perumahan, dan Kawasan Permukiman serta Pertanahan",1,1,2785700,3572800,7
5210315,S-1 ADMINISTRASI PUBLIK,251189e0-8e11-480e-88aa-5ba2c92b7c34,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Badan Perencanaan Pembangunan Daerah | Sekretariat Badan Perencanaan Pembangunan Daerah,1,1,2785700,3572800,13
5210315,S-1 ADMINISTRASI PUBLIK,374c9310-60ff-4b76-af40-251df8de0729,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Dinas Kepemudaan dan Olahraga | Sekretariat Dinas Kepemudaan dan Olahraga,1,1,2785700,3572800,9
5210315,S-1 ADMINISTRASI PUBLIK,3944b4d8-129b-4961-babf-e2d98b7ed8d1,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Badan Kepegawaian dan Pengembangan Sumber Daya Manusia | Bidang Penilaian dan Evaluasi Kinerja Aparatur,1,1,2785700,3572800,7
5210315,S-1 ADMINISTRASI PUBLIK,4949b134-b33b-4718-89bb-ffcd597342df,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,"Pemerintah Kota Surakarta | Dinas Komunikasi, Informatika, Statistik dan Persandian | Sekretariat Dinas Komunikasi, Informatika, Statistik dan Persandian",1,1,2785700,3572800,5
5210315,S-1 ADMINISTRASI PUBLIK,7331561f-bb04-4a8f-9f03-a009a108af91,Pemerintah Kota Surakarta,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Pemerintah Kota Surakarta | Sekretariat Daerah | Asisten Administrasi Umum | Bagian Organisasi,2,1,2785700,3572800,93
5210315,S-1 ADMINISTRASI PUBLIK,001c9f81-467a-4ea6-912b-1e6084cd25ac,Pemerintah Kota Surakarta,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Pemerintah Kota Surakarta | Kecamatan Banjarsari | Kelurahan Banjarsari | Sekretariat Kelurahan Banjarsari,1,1,2785700,3572800,2
5210315,S-1 ADMINISTRASI PUBLIK,04fd9cab-5839-45ea-a9a6-1c1381602e32,Pemerintah Kota Surakarta,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Pemerintah Kota Surakarta | Kecamatan Jebres | Kelurahan Sewu | Sekretariat Kelurahan Sewu,1,1,2785700,3572800,3
5210315,S-1 ADMINISTRASI PUBLIK,0d0f80db-05da-43e4-88b8-78cd40eb4b00,Pemerintah Kota Surakarta,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Pemerintah Kota Surakarta | Kecamatan Jebres | Kelurahan Mojosongo | Sekretariat Kelurahan Mojosongo,1,1,2785700,3572800,2
